province,municipality,barangay
Iloilo,Ajuy,Adcadarao
Iloilo,Ajuy,Agbobolo
Iloilo,Ajuy,Badiangan
Iloilo,Ajuy,Barrido
Iloilo,Ajuy,Bato Biasong
Iloilo,Ajuy,Bay-Ang
Iloilo,Ajuy,Bucana Bunglas
Iloilo,Ajuy,Central
Iloilo,Ajuy,Culasi
Iloilo,Ajuy,Lanjagan
Iloilo,Ajuy,Luca
Iloilo,Ajuy,Malayu-An
Iloilo,Ajuy,Mangorocoro
Iloilo,Ajuy,Nasidman
Iloilo,Ajuy,Pantalan Nabaye
Iloilo,Ajuy,Pantalan Navarro
Iloilo,Ajuy,Pedada
Iloilo,Ajuy,Pili
Iloilo,Ajuy,Pinantan Diel
Iloilo,Ajuy,Pinantan Elizalde
Iloilo,Ajuy,Pinay Espinosa
Iloilo,Ajuy,Poblacion
Iloilo,Ajuy,Progreso
Iloilo,Ajuy,Puente Bunglas
Iloilo,Ajuy,Punta Buri
Iloilo,Ajuy,Rojas
Iloilo,Ajuy,San Antonio
Iloilo,Ajuy,Santo Rosario
Iloilo,Ajuy,Silagon
Iloilo,Ajuy,Tagubanhan
Iloilo,Ajuy,Taguhangin
Iloilo,Ajuy,Tanduyan
Iloilo,Ajuy,Tipacla
Iloilo,Ajuy,Tubogan
Iloilo,Anilao,Agbatuan
Iloilo,Anilao,Badiang
Iloilo,Anilao,Balabag
Iloilo,Anilao,Balunos
Iloilo,Anilao,Cag-An
Iloilo,Anilao,Camiros
Iloilo,Anilao,Dangula-An
Iloilo,Anilao,Guipis
Iloilo,Anilao,Manganese
Iloilo,Anilao,Medina
Iloilo,Anilao,Mostro
Iloilo,Anilao,Palaypay
Iloilo,Anilao,Pantalan
Iloilo,Anilao,Poblacion
Iloilo,Anilao,Sambag Culob
Iloilo,Anilao,San Carlos
Iloilo,Anilao,San Juan Crisostomo
Iloilo,Anilao,Santa Rita
Iloilo,Anilao,Santo Rosario
Iloilo,Anilao,Serallo
Iloilo,Anilao,Vista Alegre
Iloilo,Alimodian,Abang-Abang
Iloilo,Alimodian,Agsing
Iloilo,Alimodian,Atabay
Iloilo,Alimodian,Ba-Ong
Iloilo,Alimodian,Bagsakan
Iloilo,Alimodian,Baguingin-Lanot
Iloilo,Alimodian,Bagumbayan-Ilajas
Iloilo,Alimodian,Balabago
Iloilo,Alimodian,Ban-Ag
Iloilo,Alimodian,Bancal
Iloilo,Alimodian,Binalud
Iloilo,Alimodian,Bugang
Iloilo,Alimodian,Buhay
Iloilo,Alimodian,Bulod
Iloilo,Alimodian,Cabacanan Proper
Iloilo,Alimodian,Cabacanan Rizal
Iloilo,Alimodian,Cagay
Iloilo,Alimodian,Coline
Iloilo,Alimodian,Coline-Dalag
Iloilo,Alimodian,Cunsad
Iloilo,Alimodian,Cuyad
Iloilo,Alimodian,Dalid
Iloilo,Alimodian,Dao
Iloilo,Alimodian,Gines
Iloilo,Alimodian,Ginomoy
Iloilo,Alimodian,Ingwan
Iloilo,Alimodian,Laylayan
Iloilo,Alimodian,Lico
Iloilo,Alimodian,Luan-Luan
Iloilo,Alimodian,Malamboy-Bondolan
Iloilo,Alimodian,Malamhay
Iloilo,Alimodian,Mambawi
Iloilo,Alimodian,Manasa
Iloilo,Alimodian,Manduyog
Iloilo,Alimodian,Pajo
Iloilo,Alimodian,Pianda-An Norte
Iloilo,Alimodian,Pianda-An Sur
Iloilo,Alimodian,Poblacion
Iloilo,Alimodian,Punong
Iloilo,Alimodian,Quinaspan
Iloilo,Alimodian,Sinamay
Iloilo,Alimodian,Sulong
Iloilo,Alimodian,Taban-Manguining
Iloilo,Alimodian,Tabug
Iloilo,Alimodian,Tarug
Iloilo,Alimodian,Tugaslon
Iloilo,Alimodian,Ubodan
Iloilo,Alimodian,Ugbo
Iloilo,Alimodian,Ulay-Bugang
Iloilo,Alimodian,Ulay-Hinablan
Iloilo,Alimodian,Umingan
Iloilo,Badiangan,Agusipan
Iloilo,Badiangan,Astorga
Iloilo,Badiangan,Bingauan
Iloilo,Badiangan,Bita-Oyan
Iloilo,Badiangan,Botong
Iloilo,Badiangan,Budiawe
Iloilo,Badiangan,Cabanga-An
Iloilo,Badiangan,Cabayogan
Iloilo,Badiangan,Calansanan
Iloilo,Badiangan,Catubig
Iloilo,Badiangan,Guinawahan
Iloilo,Badiangan,Ilongbukid
Iloilo,Badiangan,Indorohan
Iloilo,Badiangan,Iniligan
Iloilo,Badiangan,Latawan
Iloilo,Badiangan,Linayuan
Iloilo,Badiangan,Mainguit
Iloilo,Badiangan,Malublub
Iloilo,Badiangan,Manaolan
Iloilo,Badiangan,Mapili Grande
Iloilo,Badiangan,Mapili Sanjo
Iloilo,Badiangan,Odiongan
Iloilo,Badiangan,Poblacion (Badiangan)
Iloilo,Badiangan,San Julian
Iloilo,Badiangan,Sariri
Iloilo,Badiangan,Sianon
Iloilo,Badiangan,Sinuagan
Iloilo,Badiangan,Talaba
Iloilo,Badiangan,Tamocol
Iloilo,Badiangan,Teneclan
Iloilo,Badiangan,Tina
Iloilo,Batad,Alapasco
Iloilo,Batad,Alinsolong
Iloilo,Batad,Banban
Iloilo,Batad,Batad Viejo
Iloilo,Batad,Binon-An
Iloilo,Batad,Bolhog
Iloilo,Batad,Bulak Norte
Iloilo,Batad,Bulak Sur
Iloilo,Batad,Cabagohan
Iloilo,Batad,Calangag
Iloilo,Batad,Caw-I
Iloilo,Batad,Drancalan
Iloilo,Batad,Embarcadero
Iloilo,Batad,Hamod
Iloilo,Batad,Malico
Iloilo,Batad,Nangka
Iloilo,Batad,Pasayan
Iloilo,Batad,Poblacion
Iloilo,Batad,Quiazan Florete
Iloilo,Batad,Quiazan Lopez
Iloilo,Batad,Salong
Iloilo,Batad,Santa Ana
Iloilo,Batad,Tanao
Iloilo,Batad,Tapi-An
Iloilo,Concepcion,Aglosong
Iloilo,Concepcion,Agnaga
Iloilo,Concepcion,Bacjawan Norte
Iloilo,Concepcion,Bacjawan Sur
Iloilo,Concepcion,Bagongon
Iloilo,Concepcion,Batiti
Iloilo,Concepcion,Botlog
Iloilo,Concepcion,Calamigan
Iloilo,Concepcion,Dungon
Iloilo,Concepcion,Igbon
Iloilo,Concepcion,Jamul-Awon
Iloilo,Concepcion,Lo-Ong
Iloilo,Concepcion,Macalbang
Iloilo,Concepcion,Macatunao
Iloilo,Concepcion,Malangabang
Iloilo,Concepcion,Maliogliog
Iloilo,Concepcion,Nino
Iloilo,Concepcion,Nipa
Iloilo,Concepcion,Plandico
Iloilo,Concepcion,Poblacion
Iloilo,Concepcion,Polopina
Iloilo,Concepcion,Salvacion
Iloilo,Concepcion,Talotu-An
Iloilo,Concepcion,Tambaliza
Iloilo,Concepcion,Tamis-Ac
Iloilo,Guimbal,Anono-O
Iloilo,Guimbal,Bacong
Iloilo,Guimbal,Bagumbayan Pob. (Bagumbayan-Granada)
Iloilo,Guimbal,Balantad-Carlos Fruto (Pob.)
Iloilo,Guimbal,Baras
Iloilo,Guimbal,Binanua-An
Iloilo,Guimbal,Bongol San Miguel
Iloilo,Guimbal,Bongol San Vicente
Iloilo,Guimbal,Bulad
Iloilo,Guimbal,Buluangan
Iloilo,Guimbal,Burgos-Gengos (Pob.)
Iloilo,Guimbal,Cabasi
Iloilo,Guimbal,Cabubugan
Iloilo,Guimbal,Calampitao
Iloilo,Guimbal,Camangahan
Iloilo,Guimbal,Generosa-Cristobal Colon (Pob.)
Iloilo,Guimbal,Gerona-Gimeno (Pob.)
Iloilo,Guimbal,Girado-Magsaysay (Pob.)
Iloilo,Guimbal,Gotera (Pob.)
Iloilo,Guimbal,Igcocolo
Iloilo,Guimbal,Iyasan
Iloilo,Guimbal,Libo-On Gonzales (Pob.)
Iloilo,Guimbal,Lubacan
Iloilo,Guimbal,Nahapay
Iloilo,Guimbal,Nalundan
Iloilo,Guimbal,Nanga
Iloilo,Guimbal,Nito-An Lupsag
Iloilo,Guimbal,Particion
Iloilo,Guimbal,Pescadores (Pob.)
Iloilo,Guimbal,Rizal-Tuguisan (Pob.)
Iloilo,Guimbal,Santa Rosa-Laguna
Iloilo,Guimbal,Sipitan-Badiang
Iloilo,Guimbal,Torreblanca-Blumentritt (Pob.)
Iloilo,Leganes,Bigke
Iloilo,Leganes,Buntatala
Iloilo,Leganes,Cagamutan Norte
Iloilo,Leganes,Cagamutan Sur
Iloilo,Leganes,Calaboa
Iloilo,Leganes,Camangay
Iloilo,Leganes,Cari Mayor
Iloilo,Leganes,Cari Minor
Iloilo,Leganes,Gua-An
Iloilo,Leganes,Guihaman
Iloilo,Leganes,Guinobatan
Iloilo,Leganes,Guintas
Iloilo,Leganes,Lapayon
Iloilo,Leganes,M.v. Hechanova (Balagon)
Iloilo,Leganes,Nabitasan
Iloilo,Leganes,Napnud
Iloilo,Leganes,Poblacion
Iloilo,Leganes,San Vicente
Iloilo,Mina,Abat
Iloilo,Mina,Agmanaphao
Iloilo,Mina,Amiroy
Iloilo,Mina,Badiangan
Iloilo,Mina,Bangac
Iloilo,Mina,Cabalabaguan
Iloilo,Mina,Capul-An
Iloilo,Mina,Dala
Iloilo,Mina,Guibuangan
Iloilo,Mina,Janipa-An East
Iloilo,Mina,Janipa-An West
Iloilo,Mina,Mina East (Pob.)
Iloilo,Mina,Mina West (Pob.)
Iloilo,Mina,Nasirum
Iloilo,Mina,Naumuan
Iloilo,Mina,Singay
Iloilo,Mina,Talibong Grande
Iloilo,Mina,Talibong Pequeno
Iloilo,Mina,Tipolo
Iloilo,Mina,Tolarucan
Iloilo,Mina,Tumay
Iloilo,Mina,Yugot
Iloilo,Pototan,Abangay
Iloilo,Pototan,Amamaros
Iloilo,Pototan,Bagacay
Iloilo,Pototan,Barasan
Iloilo,Pototan,Batuan
Iloilo,Pototan,Bongco
Iloilo,Pototan,Cahaguichican
Iloilo,Pototan,Callan
Iloilo,Pototan,Cansilayan
Iloilo,Pototan,Casalsagan
Iloilo,Pototan,Cato-Ogan
Iloilo,Pototan,Cau-Ayan
Iloilo,Pototan,Culob
Iloilo,Pototan,Danao
Iloilo,Pototan,Dapitan
Iloilo,Pototan,Dawis
Iloilo,Pototan,Dongsol
Iloilo,Pototan,Fernando Parcon Ward (Pob.)
Iloilo,Pototan,Fundacion
Iloilo,Pototan,Guibuangan
Iloilo,Pototan,Guinacas
Iloilo,Pototan,Igang
Iloilo,Pototan,Intaluan
Iloilo,Pototan,Iwa Ilaud
Iloilo,Pototan,Iwa Ilaya
Iloilo,Pototan,Jamabalud
Iloilo,Pototan,Jebioc
Iloilo,Pototan,Lay-Ahan
Iloilo,Pototan,Lopez Jaena Ward (Pob.)
Iloilo,Pototan,Lumbo
Iloilo,Pototan,Macatol
Iloilo,Pototan,Malusgod
Iloilo,Pototan,Nabitasan
Iloilo,Pototan,Naga
Iloilo,Pototan,Nanga
Iloilo,Pototan,Naslo
Iloilo,Pototan,Pajo
Iloilo,Pototan,Palanguia
Iloilo,Pototan,Pitogo
Iloilo,Pototan,Polot-An
Iloilo,Pototan,Primitivo Ledesma Ward (Pob.)
Iloilo,Pototan,Purog
Iloilo,Pototan,Rumbang
Iloilo,Pototan,San Jose Ward (Pob.)
Iloilo,Pototan,Sinuagan
Iloilo,Pototan,Tuburan
Iloilo,Pototan,Tumcon Ilaud
Iloilo,Pototan,Tumcon Ilaya
Iloilo,Pototan,Ubang
Iloilo,Pototan,Zarrague
Iloilo,Balasan,Aranjuez
Iloilo,Balasan,Bacolod
Iloilo,Balasan,Balanti-An
Iloilo,Balasan,Batuan
Iloilo,Balasan,Cabalic
Iloilo,Balasan,Camambugan
