province,municipality,barangay
Abra,Bangued,Agtangao
Abra,Bangued,Angad
Abra,Bangued,Banacao
Abra,Bangued,Bangbangar
Abra,Bangued,Cabuloan
Abra,Bangued,Calaba
Abra,Bangued,Cosili East (Proper)
Abra,Bangued,Cosili West (Buaya)
Abra,Bangued,Dangdangla
Abra,Bangued,Lingtan
Abra,Bangued,Lipcan
Abra,Bangued,Lubong
Abra,Bangued,Macarcarmay
Abra,Bangued,Macray
Abra,Bangued,Malita
Abra,Bangued,Maoay
Abra,Bangued,Palao
Abra,Bangued,Patucannay
Abra,Bangued,Sagap
Abra,Bangued,San Antonio
Abra,Bangued,Santa Rosa
Abra,Bangued,Sao-atan
Abra,Bangued,Sappaac
Abra,Bangued,Tablac (Calot)
Abra,Bangued,Zone 1 Pob. (Nalasin)
Abra,Bangued,Zone 2 Pob. (Consiliman)
Abra,Bangued,Zone 3 Pob. (Lalaud)
Abra,Bangued,Zone 4 Pob. (Town Proper)
Abra,Bangued,Zone 5 Pob. (Bo. Barikir)
Abra,Bangued,Zone 6 Pob. (Sinapangan)
Abra,Bangued,Zone 7 Pob. (Baliling)
Abra,Bucloc,Ducligan
Abra,Bucloc,Labaan
Abra,Bucloc,Lamao (Pob.)
Abra,Bucloc,Lingay
Abra,Bucay,Abang
Abra,Bucay,Bangbangcag
Abra,Bucay,Bangcagan
Abra,Bucay,Banglolao
Abra,Bucay,Bugbog
Abra,Bucay,Calao
Abra,Bucay,Dugong
Abra,Bucay,Labon
Abra,Bucay,Layugan
Abra,Bucay,Madalipay
Abra,Bucay,North Poblacion
Abra,Bucay,Pagala
Abra,Bucay,Pakiling
Abra,Bucay,Palaquio
Abra,Bucay,Patoc
Abra,Bucay,Quimloong
Abra,Bucay,Salnec
Abra,Bucay,San Miguel
Abra,Bucay,Siblong
Abra,Bucay,South Poblacion
Abra,Bucay,Tabiog
Abra,Lagangilang,Aguet
Abra,Lagangilang,Bacooc
Abra,Lagangilang,Balais
Abra,Lagangilang,Cayapa
Abra,Lagangilang,Dalaguisen
Abra,Lagangilang,Laang
Abra,Lagangilang,Lagben
Abra,Lagangilang,Laguiben
Abra,Lagangilang,Nagtipulan
Abra,Lagangilang,Nagtupacan
Abra,Lagangilang,Paganao
Abra,Lagangilang,Pawa
Abra,Lagangilang,Poblacion
Abra,Lagangilang,Presentar
Abra,Lagangilang,San Isidro
Abra,Lagangilang,Tagodtod
Abra,Lagangilang,Taping
Abra,La Paz,Benben (Bonbon)
Abra,La Paz,Bulbulala
Abra,La Paz,Buli
Abra,La Paz,Canan (Gapan)
Abra,La Paz,Liguis
Abra,La Paz,Malabbaga
Abra,La Paz,Mudeng
Abra,La Paz,Pidipid
Abra,La Paz,Poblacion
Abra,La Paz,San Gregorio
Abra,La Paz,Toon
Abra,La Paz,Udangan
Abra,Lacub,Bacag
Abra,Lacub,Buneg
Abra,Lacub,Guinguinabang
Abra,Lacub,Lan-ag
Abra,Lacub,Pacoc
Abra,Lacub,Poblacion (Talampac)
Abra,Luba,Ampalioc
Abra,Luba,Barit
Abra,Luba,Gayaman
Abra,Luba,Lul-luno
Abra,Luba,Luzong
Abra,Luba,Nagbukel-Tuquipa
Abra,Luba,Poblacion
Abra,Luba,Sabnangan
Abra,Danglas,Abaquid
Abra,Danglas,Cabaruan
Abra,Danglas,Caupasan (Pob.)
Abra,Danglas,Danglas
Abra,Danglas,Nagaparan
Abra,Danglas,Padangitan
Abra,Danglas,Pangal
Abra,Dolores,Bayaan
Abra,Dolores,Cabaroan
Abra,Dolores,Calumbaya
Abra,Dolores,Cardona
Abra,Dolores,Isit
Abra,Dolores,Kimmalaba
Abra,Dolores,Libtec
Abra,Dolores,Lub-lubba
Abra,Dolores,Mudiit
Abra,Dolores,Namit-ingan
Abra,Dolores,Pacac
Abra,Dolores,Poblacion
Abra,Dolores,Salucag
Abra,Dolores,Talogtog
Abra,Dolores,Taping
Abra,Malibcong,Bayabas
Abra,Malibcong,Binasaran
Abra,Malibcong,Buanao
Abra,Malibcong,Dulao
Abra,Malibcong,Duldulao
Abra,Malibcong,Gacab
Abra,Malibcong,Lat-ey
Abra,Malibcong,Malibcong (Pob.)
Abra,Malibcong,Mataragan
Abra,Malibcong,Pacgued
Abra,Malibcong,Taripan
Abra,Malibcong,Umnap
Abra,Daguioman,Ableg
Abra,Daguioman,Cabaruyan
Abra,Daguioman,Pikek
Abra,Daguioman,Tui (Pob.)
Abra,Penarrubia,Dumayco
Abra,Penarrubia,Lusuac
Abra,Penarrubia,Malamsit (Pau-Malamsit)
Abra,Penarrubia,Namarabar
Abra,Penarrubia,Patiao
Abra,Penarrubia,Poblacion
Abra,Penarrubia,Riang (Tiang)
Abra,Penarrubia,Santa Rosa
Abra,Penarrubia,Tattawa
Abra,Pilar,Bolbolo
Abra,Pilar,Brookside
Abra,Pilar,Dalit
